Fecha;Provincia;Festividad
25/12/2010;TOLEDO;Natividad del Señor
25/12/2010;VALENCIA;Natividad del Señor
25/12/2010;VALLADOLID;Natividad del Señor
25/12/2010;ZAMORA;Natividad del Señor
25/12/2010;ZARAGOZA;Natividad del Señor
01/01/2011;A CORUÑA;Año Nuevo
01/01/2011;ALBACETE;Año Nuevo
01/01/2011;ALICANTE;Año Nuevo
01/01/2011;ALMERIA;Año Nuevo
01/01/2011;ALAVA;Año Nuevo
01/01/2011;ASTURIAS;Año Nuevo
01/01/2011;AVILA;Año Nuevo
01/01/2011;BADAJOZ;Año Nuevo
01/01/2011;ILLES BALEARS;Año Nuevo
01/01/2011;BARCELONA;Año Nuevo
01/01/2011;BIZKAIA;Año Nuevo
01/01/2011;BURGOS;Año Nuevo
01/01/2011;CACERES;Año Nuevo
01/01/2011;CADIZ;Año Nuevo
01/01/2011;CANTABRIA;Año Nuevo
01/01/2011;CASTELLON;Año Nuevo
01/01/2011;CEUTA;Año Nuevo
01/01/2011;CIUDAD REAL;Año Nuevo
01/01/2011;CORDOBA;Año Nuevo
01/01/2011;CUENCA;Año Nuevo
01/01/2011;GIPUZKOA;Año Nuevo
01/01/2011;GIRONA;Año Nuevo
01/01/2011;GRANADA;Año Nuevo
01/01/2011;GUADALAJARA;Año Nuevo
01/01/2011;HUELVA;Año Nuevo
01/01/2011;HUESCA;Año Nuevo
01/01/2011;ILLES BALEARS;Año Nuevo
01/01/2011;JAEN;Año Nuevo
01/01/2011;LA RIOJA;Año Nuevo
01/01/2011;LAS PALMAS;Año Nuevo
01/01/2011;LEON;Año Nuevo
01/01/2011;LLEIDA;Año Nuevo
01/01/2011;LUGO;Año Nuevo
01/01/2011;MADRID;Año Nuevo
01/01/2011;MALAGA;Año Nuevo
01/01/2011;MELILLA;Año Nuevo
01/01/2011;MURCIA;Año Nuevo
01/01/2011;NAVARRA;Año Nuevo
01/01/2011;OURENSE;Año Nuevo
01/01/2011;PALENCIA;Año Nuevo
01/01/2011;PONTEVEDRA;Año Nuevo
01/01/2011;SALAMANCA;Año Nuevo
01/01/2011;SANTA CRUZ DE TENERIFE;Año Nuevo
01/01/2011;SEGOVIA;Año Nuevo
01/01/2011;SEVILLA;Año Nuevo
01/01/2011;SORIA;Año Nuevo
01/01/2011;SANTA CRUZ DE TENERIFE;Año Nuevo
01/01/2011;TARRAGONA;Año Nuevo
01/01/2011;TERUEL;Año Nuevo
01/01/2011;TOLEDO;Año Nuevo
01/01/2011;VALENCIA;Año Nuevo
01/01/2011;VALLADOLID;Año Nuevo
01/01/2011;ZAMORA;Año Nuevo
01/01/2011;ZARAGOZA;Año Nuevo
06/01/2011;A CORUÑA;Epifanía del Señor
06/01/2011;ALBACETE;Epifanía del Señor
06/01/2011;ALICANTE;Epifanía del Señor
06/01/2011;ALMERIA;Epifanía del Señor
06/01/2011;ALAVA;Epifanía del Señor
06/01/2011;ASTURIAS;Epifanía del Señor
06/01/2011;AVILA;Epifanía del Señor
06/01/2011;BADAJOZ;Epifanía del Señor
06/01/2011;ILLES BALEARS;Epifanía del Señor
06/01/2011;BARCELONA;Epifanía del Señor
06/01/2011;BIZKAIA;Epifanía del Señor
06/01/2011;BURGOS;Epifanía del Señor
06/01/2011;CACERES;Epifanía del Señor
06/01/2011;CADIZ;Epifanía del Señor
06/01/2011;CANTABRIA;Epifanía del Señor
06/01/2011;CASTELLON;Epifanía del Señor
06/01/2011;CEUTA;Epifanía del Señor
06/01/2011;CIUDAD REAL;Epifanía del Señor
06/01/2011;CORDOBA;Epifanía del Señor
06/01/2011;CUENCA;Epifanía del Señor
06/01/2011;GIPUZKOA;Epifanía del Señor
06/01/2011;GIRONA;Epifanía del Señor
06/01/2011;GRANADA;Epifanía del Señor
06/01/2011;GUADALAJARA;Epifanía del Señor
06/01/2011;HUELVA;Epifanía del Señor
06/01/2011;HUESCA;Epifanía del Señor
06/01/2011;ILLES BALEARS;Epifanía del Señor
06/01/2011;JAEN;Epifanía del Señor
06/01/2011;LA RIOJA;Epifanía del Señor
06/01/2011;LAS PALMAS;Epifanía del Señor
06/01/2011;LEON;Epifanía del Señor
